,Unnamed: 0,Order Date,Brand,Sneaker Name,Release Date,Shoe Size,Buyer Region,Turnover Days,Profit,Profit Ratio,Model,Black,White,Grey,Red,Green,Neo,Orange,Tan/Brown,Pink,Blue,Colorful,Turnover Weeks,color
25428,29215,2018-06-09,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,9.5,Georgia,273,2120.0,11.16,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,39.0,White
25429,29248,2018-06-09,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,10.0,Texas,98,1759.0,9.26,air-jordan-1-retro-high,,1.0,,,,,,,,,,14.0,White
25430,29249,2018-06-09,Off-White,nike-air-max-90-off-white,2017-09-09,9.0,Washington,273,790.0,4.94,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,39.0,White
25431,29250,2018-06-09,Off-White,nike-air-presto-off-white,2017-09-09,9.0,Pennsylvania,273,1789.0,11.18,air-presto,1.0,1.0,,,,,,,,,,39.0,Black
25461,29301,2018-06-10,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.5,Maryland,274,2010.0,10.58,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,39.0,White
25462,29334,2018-06-10,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,10.0,Oregon,99,1420.0,7.47,air-jordan-1-retro-high,,1.0,,,,,,,,,,14.0,White
25463,29335,2018-06-10,Off-White,nike-air-max-90-off-white,2017-09-09,9.5,Illinois,274,828.0,5.18,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,39.0,White
25505,29428,2018-06-11,Off-White,nike-air-force-1-low-off-white,2017-11-01,8.0,Oregon,222,978.0,5.75,air-force-1,,1.0,,,,,,,,,,32.0,White
25506,29429,2018-06-11,Off-White,nike-air-presto-off-white,2017-09-09,10.0,California,275,1495.0,9.34,air-presto,1.0,1.0,,,,,,,,,,39.0,Black
25545,29487,2018-06-12,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,9.5,California,276,2310.0,12.16,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,39.0,White
25546,29488,2018-06-12,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,12.0,Oregon,276,1710.0,9.0,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,39.0,White
25548,29534,2018-06-12,Off-White,nike-air-presto-off-white,2017-09-09,14.0,Nevada,276,1290.0,8.06,air-presto,1.0,1.0,,,,,,,,,,39.0,Black
25549,29535,2018-06-12,Off-White,nike-air-presto-off-white,2017-09-09,9.0,Wisconsin,276,1640.0,10.25,air-presto,1.0,1.0,,,,,,,,,,39.0,Black
25559,29545,2018-06-12,Off-White,nike-blazer-mid-off-white,2017-09-09,12.0,California,276,770.0,5.92,blazer-mid,,1.0,,,,,,,,,,39.0,White
